,Coef.,Std.Err.,z,P>|z|,[0.025,0.975]
intercept,-1.9887770522958597,0.008062533270575739,-246.669004090056,0.0,-2.0045793271303443,-1.9729747774613753
ab_group,-0.014989113548248868,0.011434078005581154,-1.3109158028248928,0.18988621123642913,-0.0373994946356095,0.007421267539111764
